Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$21.06,-0.71,-3.261%,43137598.00,United States,,16529,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.6483,0.0062,0.966%,78638955.00,Canada,2015,1273123,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$37.87,2.19,6.138%,126444635.00,United States,1988,21416,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$8.22,0.09,1.107%,12707166.00,United States,,380558,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$31.88,0.40,1.271%,135244014.00,United States,,18742,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.59,-0.11,-1.264%,435957773.00,United States,,83845,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.07,-0.15,-6.757%,78020467.00,,2018,249160,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.01,-0.04,-1.951%,79776924.00,United States,,1387961,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$7.62,-0.18,-2.308%,21612278.00,United States,2014,85204,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.52,0.04,2.703%,48229228.00,United States,,338773,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.20,-0.05,-2.222%,51073739.00,China,,137578,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.47,-0.01,-0.676%,287574818.00,United States,,1135550,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.47,0.12,5.106%,14229670.00,United States,,46415,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$25.62,0.76,3.057%,177979680.00,United States,2020,138029,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$12.15,-0.30,-2.41%,164970817.00,Canada,,477295,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.73,0.24,5.345%,97477604.00,United States,,8337,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.19,-0.03,-2.459%,118737300.00,Canada,,1351506,Basic Industries,Precious Metals
ASXC,Asensus Surgical Inc. Common Stock,$4.15,0.34,8.924%,932613655.00,United States,,15763126,,
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.88,0.13,1.677%,107061817.00,United States,,359844,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.67,-0.0162,-2.361%,108854640.00,United States,,2307037,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.23,-0.05,-1.524%,12517642.00,United States,,71263,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.38,-0.07,-2.857%,332638182.00,Canada,,860500,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$12.28,-0.39,-3.078%,198984715.00,,,61767,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$28.70,-0.69,-2.348%,152827242.00,United States,,30868,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.7996,0.0096,0.037%,,United States,,437,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.50,-0.4436,-1.778%,45536852.00,United States,,2034,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.34,-0.08,-5.634%,15544907.00,United States,,182789,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$3.57,0.08,2.292%,64156045.00,Canada,,1654880,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$32.15,1.00,3.21%,479953365.00,United States,,48872,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$7.86,0.41,5.503%,316961000.00,,2018,26689,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$4.89,0.40,8.909%,61183514.00,United States,,114065,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$11.43,-0.21,-1.804%,139449452.00,,2018,78266,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$21.00,1.18,5.954%,259273350.00,,,21750,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.52,0.44,3.971%,264701146.00,,2014,444330,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.8901,-0.0098,-0.038%,,,,1295,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.725,-0.225,-0.867%,,,,1850,,
BRN,Barnwell Industries Inc. Common Stock,$2.62,0.06,2.344%,21686159.00,United States,,109070,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.40,-0.11,-2.439%,4627856323.00,Canada,,6340163,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.56,0.20,8.475%,46600120.00,United States,,164105,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$10.70,-0.24,-2.194%,,United States,,4685,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.82,-0.02,-1.087%,28053447.00,Israel,,709497,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$121.81,3.44,2.906%,1150664888.00,United States,,32474,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$4.55,-0.39,-7.895%,54668773.00,United States,,69529,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.22,0.02,1.667%,30500000.00,United States,,4857252,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$36.57,0.51,1.414%,959611538.00,United States,,12867,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$12.99,-0.0697,-0.534%,92665139.00,United States,1999,46100,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.12,0.05,0.497%,109076447.00,,2020,8269,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.93,-0.02,-0.201%,118504620.00,,2021,4111,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.285,-0.045,-1.351%,171821692.00,United States,,2273491,,
CIX,CompX International Inc. Common Stock,$15.75,0.96,6.491%,196105723.00,United States,1998,25410,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.42,-0.48,-4.404%,20240798.00,United States,,878,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.33,0.08,0.604%,1035373559.00,United States,1987,1267125,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.22,0.17,1.21%,172329663.00,Canada,,94143,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$11.71,-0.67,-5.412%,93350633.00,United States,,25801,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$26.50,-0.97,-3.531%,35365337.00,United States,,36239,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.8324,0.0529,6.786%,37940423.00,China,,317801,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$40.73,-1.02,-2.443%,19714180340.00,United States,2007,103469,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.99,0.07,0.542%,533156468.00,United States,,525996,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.87,0.02,0.519%,276368635.00,,2015,1416977,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.26,0.01,0.444%,24073631.00,United States,2017,86615,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$18.06,-1.36,-7.003%,731958761.00,United States,,478441,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.80,-0.45,-1.651%,25892338.00,United States,,6055,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.71,0.31,7.045%,56290486.00,United States,,51182,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.37,-0.05,-2.066%,245312543.00,United States,1998,4658717,,
DIT,AMCON Distributing Company Common Stock,$120.3399,-1.8901,-1.546%,66351690.00,United States,,255,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$26.26,0.46,1.783%,183154572.00,United States,,20819,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.83,0.05,0.569%,183229546.00,United States,1988,25786,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$0.9711,-0.0289,-2.89%,702540598.00,Canada,,15967087,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$3.20,0.13,4.235%,88811398.00,United States,,6732799,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$3.12,-0.21,-6.306%,86330790.00,United States,,1563697,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.12,-0.03,-2.609%,23379853.00,China,,556379,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$11.02,-0.39,-3.418%,44453325.00,United States,,4280,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.30,-0.06,-0.718%,502865576.00,United States,2003,301665,,
ECF,Ellsworth Growth and Income Fund Ltd.,$13.16,-0.19,-1.423%,173778550.00,United States,1986,62457,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.1501,0.0001,0.00%,,United States,,500,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.02,0.00,0.00%,936830456.00,United States,2002,266297,,
ELA,Envela Corporation Common Stock,$4.77,-0.16,-3.245%,128429297.00,United States,,50767,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.45,0.00,0.00%,385256262.00,Israel,,56,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$12.05,0.08,0.668%,104052292.00,United States,2011,122653,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.74,-0.44,-10.526%,252448511.00,United States,,1839446,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.03,0.07,2.365%,255542504.00,Canada,,211580,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.90,0.08,4.396%,19511949.00,United States,,723226,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.93,0.01,0.084%,216151247.00,United States,2002,13730,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.35,0.10,2.353%,145683893.00,United States,,359250,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.04,-0.05,-0.618%,1948529424.00,Canada,,1452820,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.53,0.05,0.401%,352495063.00,United States,2003,100888,,
ERH,Wells Fargo Utilities and High Income Fund,$12.66,0.0337,0.267%,117422323.00,,2004,23886,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$18.41,-0.5483,-2.892%,49755474.00,United States,,6072,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$34.24,0.21,0.617%,184352919.00,United States,,18815,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$33.21,-0.41,-1.22%,406868629.00,United States,,20610,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.31,-0.01,-0.088%,282685974.00,United States,2002,78117,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.66,0.00,0.00%,1470421248.00,United States,2003,426290,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.00,0.00,0.00%,75625592.00,United States,1999,2355,,
EXN,Excellon Resources Inc. Common Shares,$3.02,-0.02,-0.658%,96848380.00,,2020,38764,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.35,0.01,0.23%,1077476595.00,United States,1986,537906,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.10,-0.20,-2.41%,70720663.00,United States,1992,71822,,
